Source_File,Word
APEUni_Advanced_Vocab,exhaust
APEUni_Advanced_Vocab,exhilarate
APEUni_Advanced_Vocab,restaurant
APEUni_Advanced_Vocab,intense
APEUni_Advanced_Vocab,facilitate
APEUni_Advanced_Vocab,fast
APEUni_Advanced_Vocab,sustainable
APEUni_Advanced_Vocab,English
APEUni_Advanced_Vocab,nucleus
APEUni_Advanced_Vocab,intellectual
APEUni_Advanced_Vocab,factor
APEUni_Advanced_Vocab,disorder
APEUni_Advanced_Vocab,depth
APEUni_Advanced_Vocab,recycle
APEUni_Advanced_Vocab,literature
APEUni_Advanced_Vocab,exposure
APEUni_Advanced_Vocab,explore
APEUni_Advanced_Vocab,abstract
APEUni_Advanced_Vocab,conservation
APEUni_Advanced_Vocab,imagine
APEUni_Advanced_Vocab,Budget
APEUni_Advanced_Vocab,reflect
APEUni_Advanced_Vocab,progress
APEUni_Advanced_Vocab,innovate
APEUni_Advanced_Vocab,competent
APEUni_Advanced_Vocab,escape
APEUni_Advanced_Vocab,perception
APEUni_Advanced_Vocab,combine
APEUni_Advanced_Vocab,industrial
APEUni_Advanced_Vocab,solar
APEUni_Advanced_Vocab,critical
APEUni_Advanced_Vocab,ambitious
APEUni_Advanced_Vocab,distribution
APEUni_Advanced_Vocab,capacity
APEUni_Advanced_Vocab,innovation
APEUni_Advanced_Vocab,core
APEUni_Advanced_Vocab,picture
APEUni_Advanced_Vocab,immense
APEUni_Advanced_Vocab,tourist
APEUni_Advanced_Vocab,prosperity
APEUni_Advanced_Vocab,precede
APEUni_Advanced_Vocab,vulnerable
APEUni_Advanced_Vocab,usage
APEUni_Advanced_Vocab,medium
APEUni_Advanced_Vocab,opponent
APEUni_Advanced_Vocab,technique
APEUni_Advanced_Vocab,launch
APEUni_Advanced_Vocab,electric
APEUni_Advanced_Vocab,patent
APEUni_Advanced_Vocab,manufacturer
APEUni_Advanced_Vocab,qualify
APEUni_Advanced_Vocab,library
APEUni_Advanced_Vocab,sensible
APEUni_Advanced_Vocab,speaker
APEUni_Advanced_Vocab,ban
APEUni_Advanced_Vocab,determine
APEUni_Advanced_Vocab,species
APEUni_Advanced_Vocab,presentation
APEUni_Advanced_Vocab,odd
APEUni_Advanced_Vocab,reduce
APEUni_Advanced_Vocab,genetic
APEUni_Advanced_Vocab,diversity
APEUni_Advanced_Vocab,observe
APEUni_Advanced_Vocab,particularly
APEUni_Advanced_Vocab,extinction
APEUni_Advanced_Vocab,internal
APEUni_Advanced_Vocab,glimpse
APEUni_Advanced_Vocab,transaction
APEUni_Advanced_Vocab,success
APEUni_Advanced_Vocab,allocate
APEUni_Advanced_Vocab,graduate
APEUni_Advanced_Vocab,examination
APEUni_Advanced_Vocab,adequate
APEUni_Advanced_Vocab,initiate
APEUni_Advanced_Vocab,engine
APEUni_Advanced_Vocab,constitute
APEUni_Advanced_Vocab,elephant
APEUni_Advanced_Vocab,natural
APEUni_Advanced_Vocab,skeptical
APEUni_Advanced_Vocab,source
APEUni_Advanced_Vocab,necessarily
APEUni_Advanced_Vocab,shopper
